"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80029;"Freguesia do Ó";2018;"06 anos";1.710
80029;"Freguesia do Ó";2018;"07 a 10 anos";6.374
80029;"Freguesia do Ó";2018;"11 a 14 anos";5.926
80029;"Freguesia do Ó";2018;"15 a 17 anos";5.005
80029;"Freguesia do Ó";2018;"18 a 19 anos";3.632
80029;"Freguesia do Ó";2018;"Total da Seleção";33.183
80029;"Freguesia do Ó";2018;"Total Geral da População";140.561
80030;"Grajaú";2018;"00 a 03 anos";24.839
80030;"Grajaú";2018;"04 a 05 anos";12.234
80030;"Grajaú";2018;"06 anos";5.966
80030;"Grajaú";2018;"07 a 10 anos";22.695
80030;"Grajaú";2018;"11 a 14 anos";22.004
80030;"Grajaú";2018;"15 a 17 anos";18.624
80030;"Grajaú";2018;"18 a 19 anos";13.331
80030;"Grajaú";2018;"Total da Seleção";119.693
80030;"Grajaú";2018;"Total Geral da População";384.203
80031;"Guaianases";2018;"00 a 03 anos";6.910
80031;"Guaianases";2018;"04 a 05 anos";3.381
80031;"Guaianases";2018;"06 anos";1.645
80031;"Guaianases";2018;"07 a 10 anos";6.257
80031;"Guaianases";2018;"11 a 14 anos";6.071
80031;"Guaianases";2018;"15 a 17 anos";5.123
80031;"Guaianases";2018;"18 a 19 anos";3.675
80031;"Guaianases";2018;"Total da Seleção";33.062
80031;"Guaianases";2018;"Total Geral da População";108.449
80033;"Iguatemi";2018;"00 a 03 anos";9.579
80033;"Iguatemi";2018;"04 a 05 anos";4.626
80033;"Iguatemi";2018;"06 anos";2.247
80033;"Iguatemi";2018;"07 a 10 anos";8.571
80033;"Iguatemi";2018;"11 a 14 anos";8.418
80033;"Iguatemi";2018;"15 a 17 anos";7.175
80033;"Iguatemi";2018;"18 a 19 anos";5.162
80033;"Iguatemi";2018;"Total da Seleção";45.778
80033;"Iguatemi";2018;"Total Geral da População";145.317
80034;"Ipiranga";2018;"00 a 03 anos";5.085
80034;"Ipiranga";2018;"04 a 05 anos";2.615
80034;"Ipiranga";2018;"06 anos";1.285
80034;"Ipiranga";2018;"07 a 10 anos";4.882
80034;"Ipiranga";2018;"11 a 14 anos";4.565
80034;"Ipiranga";2018;"15 a 17 anos";3.658
80034;"Ipiranga";2018;"18 a 19 anos";2.590
80034;"Ipiranga";2018;"Total da Seleção";24.680
80034;"Ipiranga";2018;"Total Geral da População";111.265
80035;"Itaim Bibi";2018;"00 a 03 anos";3.842
80035;"Itaim Bibi";2018;"04 a 05 anos";2.060
80035;"Itaim Bibi";2018;"06 anos";1.010
80035;"Itaim Bibi";2018;"07 a 10 anos";3.692
80035;"Itaim Bibi";2018;"11 a 14 anos";3.031
80035;"Itaim Bibi";2018;"15 a 17 anos";2.071
80035;"Itaim Bibi";2018;"18 a 19 anos";1.384
80035;"Itaim Bibi";2018;"Total da Seleção";17.090
80035;"Itaim Bibi";2018;"Total Geral da População";96.561
80036;"Itaim Paulista";2018;"00 a 03 anos";14.146
80036;"Itaim Paulista";2018;"04 a 05 anos";7.002
80036;"Itaim Paulista";2018;"06 anos";3.429
80036;"Itaim Paulista";2018;"07 a 10 anos";13.202
80036;"Itaim Paulista";2018;"11 a 14 anos";13.024
80036;"Itaim Paulista";2018;"15 a 17 anos";11.000
80036;"Itaim Paulista";2018;"18 a 19 anos";7.950
80036;"Itaim Paulista";2018;"Total da Seleção";69.753
80036;"Itaim Paulista";2018;"Total Geral da População";232.620
80037;"Itaquera";2018;"00 a 03 anos";11.953
80037;"Itaquera";2018;"04 a 05 anos";6.003
80037;"Itaquera";2018;"06 anos";2.944
80037;"Itaquera";2018;"07 a 10 anos";11.275
80037;"Itaquera";2018;"11 a 14 anos";10.947
80037;"Itaquera";2018;"15 a 17 anos";9.181
80037;"Itaquera";2018;"18 a 19 anos";6.581
80037;"Itaquera";2018;"Total da Seleção";58.884
80037;"Itaquera";2018;"Total Geral da População";210.158
80038;"Jabaquara";2018;"00 a 03 anos";11.494
80038;"Jabaquara";2018;"04 a 05 anos";5.900
80038;"Jabaquara";2018;"06 anos";2.899
80038;"Jabaquara";2018;"07 a 10 anos";11.005
80038;"Jabaquara";2018;"11 a 14 anos";10.319
80038;"Jabaquara";2018;"15 a 17 anos";8.320
80038;"Jabaquara";2018;"18 a 19 anos";5.907
80038;"Jabaquara";2018;"Total da Seleção";55.844
80038;"Jabaquara";2018;"Total Geral da População";228.281
80039;"Jaçanã";2018;"00 a 03 anos";4.783
80039;"Jaçanã";2018;"04 a 05 anos";2.418
80039;"Jaçanã";2018;"06 anos";1.206
80039;"Jaçanã";2018;"07 a 10 anos";4.801
80039;"Jaçanã";2018;"11 a 14 anos";4.913
80039;"Jaçanã";2018;"15 a 17 anos";4.057
80039;"Jaçanã";2018;"18 a 19 anos";2.869
80039;"Jaçanã";2018;"Total da Seleção";25.047
80039;"Jaçanã";2018;"Total Geral da População";95.812
80040;"Jaguara";2018;"00 a 03 anos";1.101
80040;"Jaguara";2018;"04 a 05 anos";559
80040;"Jaguara";2018;"06 anos";274
80040;"Jaguara";2018;"07 a 10 anos";1.041
80040;"Jaguara";2018;"11 a 14 anos";984
80040;"Jaguara";2018;"15 a 17 anos";816
80040;"Jaguara";2018;"18 a 19 anos";579
80040;"Jaguara";2018;"Total da Seleção";5.354
80040;"Jaguara";2018;"Total Geral da População";24.131
80041;"Jaguaré";2018;"00 a 03 anos";2.819
80041;"Jaguaré";2018;"04 a 05 anos";1.440
80041;"Jaguaré";2018;"06 anos";712
80041;"Jaguaré";2018;"07 a 10 anos";2.750
80041;"Jaguaré";2018;"11 a 14 anos";2.658
80041;"Jaguaré";2018;"15 a 17 anos";2.145
80041;"Jaguaré";2018;"18 a 19 anos";1.497
